Input, Context, Output
Who is responsible for preparing the committee's report and presenting it to Parliament?, [The rapporteur shall be responsible for preparing the committee's report and for presenting it to Parliament on behalf of that committee.]; [The explanatory statement shall be the responsibility of the rapporteur and shall not be put to the vote.]; [The Conference of Presidents shall adopt a decision on requests for authorisation to draw up legislative own-initiative and non-legislative own-initiative reports within four parliamentary business weeks after they have been forwarded by the Conference of Committee Chairs.]; [If the committee to which a matter was first referred wishes to hear the views of another committee; or if another committee wishes to make known its views to the committee to which a matter was first referred; such committees may ask the President in accordance with Rule 210(2) for one committee to be named as the committee responsible and the other as the opinion-giving committee.]; [Minority positions may be expressed when the vote on the text as a whole is taken and may; at the request of their authors; be the subject of a written declaration not exceeding 200 words in length; which shall be annexed to the explanatory statement.], The rapporteur.
What must the explanatory statement accord with?, [The explanatory statement must accord with the text of the motion for a resolution as adopted and any amendments proposed by the committee.]; [The rapporteur shall be responsible for preparing the committee's report and for presenting it to Parliament on behalf of that committee.]; [Minority positions may be expressed when the vote on the text as a whole is taken and may; at the request of their authors; be the subject of a written declaration not exceeding 200 words in length; which shall be annexed to the explanatory statement.]; [On a proposal from its Chair; the committee may set a deadline within which the rapporteur must submit the draft report.]; [The Conference of Presidents shall adopt a decision on requests for authorisation to draw up legislative own-initiative and non-legislative own-initiative reports within four parliamentary business weeks after they have been forwarded by the Conference of Committee Chairs.], The text of the motion for a resolution as adopted and any amendments proposed by the committee.
What is the role of the Conference of Presidents in the procedure for granting authorisation to draw up own-initiative reports?, [The Conference of Presidents shall adopt a decision on requests for authorisation to draw up legislative own-initiative and non-legislative own-initiative reports within four parliamentary business weeks after they have been forwarded by the Conference of Committee Chairs.]; [The Conference of Committee Chairs shall ascertain compliance with the criteria set out in Articles 1 and 2 and with the quota established in Article 1.]; [Requests for the application of Rule 57 of the Rules of Procedure shall be submitted no later than the Monday preceding the meeting of the Conference of Committee Chairs.]; [Towards the end of the parliamentary term; requests for authorisation to draw up own-initiative reports must be submitted no later than in the July of the year preceding the elections.]; [The explanatory statement shall be the responsibility of the rapporteur and shall not be put to the vote.], The Conference of Presidents shall adopt a decision on requests for authorisation to draw up legislative own-initiative and non-legislative own-initiative reports within four parliamentary business weeks after they have been forwarded by the Conference of Committee Chairs.
How long does the Conference of Presidents have to adopt a decision on requests for authorisation?, [The Conference of Presidents shall adopt a decision on requests for authorisation to draw up legislative own-initiative and non-legislative own-initiative reports within four parliamentary business weeks after they have been forwarded by the Conference of Committee Chairs.]; [If the Conference of Presidents fails to take a decision within that period; the recommendation shall be deemed to have been approved.]; [Requests for the application of Rule 57 of the Rules of Procedure shall be submitted no later than the Monday preceding the meeting of the Conference of Committee Chairs.]; [If a committee's competence to draw up a report is challenged; the Conference of Presidents shall take a decision within six parliamentary business weeks on the basis of a recommendation from the Conference of Committee Chairs.]; [On a proposal from its Chair; the committee may set a deadline within which the rapporteur must submit the draft report.], Four parliamentary business weeks.
Under what conditions can a proposed report be denied authorisation?, [The proposed report must not deal with topics which have already been the subject of a report adopted in plenary during the previous 12 months; save where new information justifies it on an exceptional basis.]; [The proposed report must not deal with topics principally involving analysis and research activities which may be covered in other ways; for example by studies.]; [Authorisation shall be granted automatically after notification of the request to the Conference of Committee Chairs for implementation reports.]; [Requests for the application of Rule 57 of the Rules of Procedure shall be submitted no later than the Monday preceding the meeting of the Conference of Committee Chairs.]; [The Conference of Presidents shall adopt a decision on requests for authorisation to draw up legislative own-initiative and non-legislative own-initiative reports within four parliamentary business weeks after they have been forwarded by the Conference of Committee Chairs.], The proposed report must not deal with topics which have already been the subject of a report adopted in plenary during the previous 12 months; save where new information justifies it on an exceptional basis.
What must be included in requests for authorisation?, [All such requests shall contain an indication of the type and the exact title of the report and the basic document(s); if any.]; [Requests for the application of Rule 57 of the Rules of Procedure shall be submitted no later than the Monday preceding the meeting of the Conference of Committee Chairs.]; [The proposed report must not deal with topics principally involving analysis and research activities which may be covered in other ways.]; [The rapporteur shall be responsible for preparing the committee's report and for presenting it to Parliament on behalf of that committee.]; [On a proposal from its Chair; the committee may set a deadline within which the rapporteur must submit the draft report.], An indication of the type and the exact title of the report and the basic document(s); if any.
What happens if the Conference of Presidents fails to take a decision within the specified period?, [If the Conference of Presidents fails to take a decision within that period; the recommendation shall be deemed to have been approved.]; [The Conference of Presidents shall adopt a decision on requests for authorisation to draw up legislative own-initiative and non-legislative own-initiative reports within four parliamentary business weeks.]; [Requests for the application of Rule 57 of the Rules of Procedure shall be submitted no later than the Monday preceding the meeting of the Conference of Committee Chairs.]; [The proposed report must not deal with topics principally involving analysis and research activities which may be covered in other ways.]; [The explanatory statement must accord with the text of the motion for a resolution as adopted and any amendments proposed by the committee.], The recommendation shall be deemed to have been approved.
How often must the Conference of Committee Chairs submit a report on the progress of own-initiative reports?, [The Conference of Committee Chairs shall submit to the Conference of Presidents a report on the progress of own-initiative reports every two and a half years.]; [Requests for the application of Rule 57 of the Rules of Procedure shall be submitted no later than the Monday preceding the meeting of the Conference of Committee Chairs.]; [If the Conference of Presidents fails to take a decision within that period; the recommendation shall be deemed to have been approved.]; [The rapporteur shall be responsible for preparing the committee's report and for presenting it to Parliament on behalf of that committee.]; [The explanatory statement must accord with the text of the motion for a resolution as adopted and any amendments proposed by the committee.], Every two and a half years.
When must requests for authorisation to draw up own-initiative reports be submitted towards the end of the parliamentary term?, [Towards the end of the parliamentary term; requests for authorisation to draw up own-initiative reports must be submitted no later than in the July of the year preceding the elections.]; [Requests for the application of Rule 57 of the Rules of Procedure shall be submitted no later than the Monday preceding the meeting of the Conference of Committee Chairs.]; [If the Conference of Presidents fails to take a decision within that period; the recommendation shall be deemed to have been approved.]; [The rapporteur shall be responsible for preparing the committee's report and for presenting it to Parliament on behalf of that committee.]; [The proposed report must not deal with topics which have already been the subject of a report adopted in plenary during the previous 12 months.], No later than in the July of the year preceding the elections.
What is the length limit for written declarations of minority positions?, [Minority positions may be expressed when the vote on the text as a whole is taken and may; at the request of their authors; be the subject of a written declaration not exceeding 200 words in length; which shall be annexed to the explanatory statement.]; [The explanatory statement must accord with the text of the motion for a resolution as adopted and any amendments proposed by the committee.]; [The proposed report must not deal with topics principally involving analysis and research activities which may be covered in other ways.]; [Requests for the application of Rule 57 of the Rules of Procedure shall be submitted no later than the Monday preceding the meeting of the Conference of Committee Chairs.]; [The Conference of Presidents shall adopt a decision on requests for authorisation to draw up legislative own-initiative and non-legislative own-initiative reports within four parliamentary business weeks.], 200 words.
Who can speak at official meetings during committee missions?, [If members outline a personal standpoint or a standpoint of their group; they shall indicate this clearly.]; [Only members who are officially part of the mission shall have the right to speak at official meetings.]; [In dealings with third parties and the press; the mission chair may speak only on behalf of the mission; and not on behalf of Parliament.]; [Press conferences and/or press releases concerning the mission’s activities shall be held and/or issued under the authority of the mission chair.]; [A report on the outcome of the mission shall be submitted to the committee concerned within one month after completion of the mission.], Only members who are officially part of the mission.
How many members can a committee mission include?, [Accompanying Members may only benefit from the facilities put at the disposal of the official members of the mission if that does not give rise to extra costs or organisational efforts.]; [Committee missions may have recourse to the interpretation service provided in accordance with Rules 25(9); 158; and 159 of the Rules of Procedure.]; [No mission may comprise more than official 12 members.]; [Each committee shall have sole responsibility for determining the membership of its missions.]; [In principle; committee missions shall be confined to the territory of the European Union.], No mission may comprise more than 12 official members.
What is the maximum duration of committee missions?, [Committees may decide not to use up their maximum travel quota when establishing the six-month programme.]; [In principle; the duration of missions may not exceed three days; including journey times.]; [In exceptional cases; if it is necessary to undertake a long journey or if links to the destination are poor; a mission may be granted up to two days’ additional journey time.]; [Where justified in the light of the programme; committee missions may have recourse to the interpretation service provided in accordance with Rules 25(9); 158; and 159 of the Rules of Procedure.]; [Committees may decide to use all or part of their annual quota for missions to candidate countries.], In principle; the duration of missions may not exceed three days; including journey times.
Who must authorize committee missions undertaken outside designated weeks?, [Committees may decide to use all or part of their annual quota for missions to candidate countries.]; [The committees shall undertake missions during the weeks set aside for external parliamentary activities.]; [Committees may decide not to use up their maximum travel quota when establishing the six-month programme.]; [The committees shall be required to obtain prior authorisation from the President of Parliament for any mission undertaken outside those weeks.]; [In exceptional cases; if it is necessary to undertake a long journey or if links to the destination are poor; a mission may be granted up to two days’ additional journey time.], The President of Parliament.
Under whose authority are press conferences and/or press releases issued?, [Press conferences and/or press releases concerning the mission’s activities shall be held and/or issued under the authority of the mission chair.]; [In dealings with third parties and the press; the mission chair may speak only on behalf of the mission; and not on behalf of Parliament.]; [Any such press releases shall reflect the positions set out in the resolutions adopted by Parliament.]; [In principle; and first and foremost; they shall put forward Parliament’s official position on the matter under discussion.]; [A report on the outcome of the mission shall be submitted to the committee concerned within one month after completion of the mission.], Under the authority of the mission chair.
When must a report on the outcome of the mission be submitted?, [A copy of that report shall be forwarded to the Conference of Committee Chairs; for information.]; [A report on the outcome of the mission shall be submitted to the committee concerned within one month after completion of the mission.]; [Press conferences and/or press releases concerning the mission’s activities shall be held and/or issued under the authority of the mission chair.]; [The committees shall be required to obtain prior authorisation from the President of Parliament for any mission undertaken outside those weeks.]; [Each committee shall have sole responsibility for determining the membership of its missions.], Within one month after completion of the mission.
What must committees take into account when forming official missions?, [Committees may decide to use all or part of their annual quota for missions to candidate countries.]; [Committees may decide not to use up their maximum travel quota when establishing the six-month programme.]; [Committees shall be invited to take account of language requirements and their practical implications in terms of staffing.]; [The committees shall be required to obtain prior authorisation from the President of Parliament for any mission undertaken outside those weeks.]; [The committee shall ensure; as far as possible; that its members with expertise in the area concerned; including; in principle; its rapporteur; participate in the mission.], Language requirements and their practical implications in terms of staffing.
Who can accompany a committee mission within the European Union?, [Members of the same committee not elected in the Member State to which the mission travels.]; [Accompanying Members shall not be included in the calculation of the quotas laid down in Article 2(1) and (2).]; [Accompanying Members may only benefit from the facilities put at the disposal of the official members of the mission if that does not give rise to extra costs or organisational efforts.]; [Accompanying Members shall not be included in the calculation of the quotas laid down in Article 2(1) and (2).]; [Members elected in the Member State to which the mission travels.], Members elected in the Member State to which the mission travels.
Who must approve the draft six-month programme of committee missions?, [The Conference of Committee Chairs shall submit a draft six-month programme of committee missions.]; [The President of Parliament shall invite the Commission and Council to include Members representing Parliament in the delegation concerned.]; [The committees shall be required to obtain prior authorisation from the President of Parliament for any mission undertaken outside those weeks.]; [The Bureau shall deliver its opinion (no later than at the second Conference of Presidents meeting following submission of the draft six-month programme).]; [Committees may decide not to use up their maximum travel quota when establishing the six-month programme.], The Conference of Committee Chairs.
What must be forwarded to the President of Parliament prior to each mission?, [Prior to each mission; the committee concerned shall forward to the President of Parliament the detailed programme thereof and any other relevant information.]; [The Conference of Committee Chairs shall submit a draft six-month programme of committee missions.]; [The Bureau shall deliver its opinion (no later than at the second Conference of Presidents meeting following submission of the draft six-month programme).]; [In exceptional cases; if it is necessary to undertake a long journey or if links to the destination are poor; a mission may be granted up to two days’ additional journey time.]; [In principle; the duration of missions may not exceed three days; including journey times.], The detailed programme and any other relevant information.
Who may organize hearings of experts in connection with their work?, [Standing parliamentary committees; subcommittees; committees of inquiry and special committees as well as Parliament's governing bodies (the Bureau and the Conference of Presidents) or one of their working groups may organise hearings of experts (hereinafter ‘guests’) in connection with their work.]; [Guests invited by Parliament shall be entitled to reimbursement of their travel expenses and to a daily allowance in accordance with the following arrangements:]; [If committees so choose; part of their quota may be used for inviting guests to interparliamentary committee meetings.]; [These rules shall be applicable mutatis mutandis to hearings on citizens' initiatives under Rule 211 of the Rules of Procedure (hereinafter “CI Hearings").]; [The Conference of Committee Chairs shall submit to the Bureau; by 31 October for the first half of the following year and by 30 April for the second half of the same year; a draft 6-month programme of hearings envisaged; accompanied by appropriate supporting documents and any information available at that time (topic; justification; dates; number of guests; background).], Standing parliamentary committees; subcommittees; committees of inquiry and special committees as well as Parliament's governing bodies (the Bureau and the Conference of Presidents) or one of their working groups.
How many guests can each committee hear each year whose expenses will be covered?, [Each committee may hear a maximum of 16 guests each year whose expenses will be covered.]; [In addition; a maximum of three organisers of the initiative invited under Rule 211 (4); among them the contact person invited; are considered guests whose expenses will be covered by Parliament.]; [The Conference of Committee Chairs shall submit to the Bureau; by 31 October for the first half of the following year and by 30 April for the second half of the same year; a draft 6-month programme of hearings envisaged; accompanied by appropriate supporting documents and any information available at that time (topic; justification; dates; number of guests; background).]; [Each subcommittee may hear a maximum of 12 guests each year whose expenses will be covered.]; [Expenses required for guests to be heard by one of Parliament's governing bodies or one of their working groups shall be authorised by the respective body on a case-by-case basis.], Each committee may hear a maximum of 16 guests each year whose expenses will be covered.
When shall CI Hearings take place?, [During each CI Hearing; the committee responsible may hear a maximum of three guests whose expenses will be covered by Parliament.]; [CI Hearings shall take place during regular meeting slots of the organising committee if appropriate or on a Thursday afternoon in a committee week.]; [The secretariat of the committee or Parliament's governing body organising a hearing shall be responsible for controlling the compliance of speakers and the organisations they represent with the aforementioned Agreement.]; [Prior to each mission; the committee concerned shall forward to the President of Parliament the detailed programme thereof and any other relevant information.]; [Hearings shall be organised by the committee secretariats or the secretariats of the governing bodies; under the political authority of their Chair or the President respectively.], During regular meeting slots of the organising committee if appropriate or on a Thursday afternoon in a committee week.
Who must provide prior authorisation for all committee hearings?, [All committee hearings shall require prior authorisation from the Bureau.]; [The Conference of Committee Chairs shall submit to the Bureau; by 31 October for the first half of the following year and by 30 April for the second half of the same year; a draft 6-month programme of hearings envisaged; accompanied by appropriate supporting documents and any information available at that time (topic; justification; dates; number of guests; background).]; [The secretariat of the committee or Parliament's governing body organising a hearing shall be responsible for controlling the compliance of speakers and the organisations they represent with the aforementioned Agreement.]; [Prior to each mission; the committee concerned shall forward to the President of Parliament the detailed programme thereof and any other relevant information.]; [The Conference of Committee Chairs shall submit to the Bureau; by 31 October for the first half of the following year and by 30 April for the second half of the same year; a draft 6-month programme of hearings envisaged; accompanied by appropriate supporting documents and any information available at that time (topic; justification; dates; number of guests; background).], The Bureau.
What type of guests shall be entitled to reimbursement of their travel expenses and to a daily allowance?, [Guests invited by Parliament shall be entitled to reimbursement of their travel expenses and to a daily allowance in accordance with the following arrangements:]; [In principle; the duration of missions may not exceed three days; including journey times.]; [The Bureau shall deliver its opinion (no later than at the second Conference of Presidents meeting following submission of the draft six-month programme).]; [Accompanying Members may only benefit from the facilities put at the disposal of the official members of the mission if that does not give rise to extra costs or organisational efforts.]; [Prior to each mission; the committee concerned shall forward to the President of Parliament the detailed programme thereof and any other relevant information.], Guests invited by Parliament.
What is the daily allowance amount guests are entitled to?, [Guests shall be entitled to a daily allowance of EUR 125 for each day of active participation in a meeting to cover meals; local transport at the venue; and other expenses.]; [Travel from and to another place than the usual residence or office address may be authorised in duly justified cases.]; [Guests travelling by car shall be entitled; on presentation of a written declaration of honour; to a flat-rate reimbursement of their expenses corresponding to the second-class train fare calculated on the basis of the shortest route between their place of residence or office and the venue of the meeting.]; [The Secretary-General may revise these amounts in the light of changes in the costs which this allowance is intended to cover.]; [Guests invited by Parliament shall be entitled to reimbursement of their travel expenses and to a daily allowance in accordance with the following arrangements:], EUR 125.
What is required to be submitted to the President in accordance with Article 5 of these Rules?, [Prior notification shall be submitted to the President in accordance with Article 5 of these Rules.]; [A report on the outcome of the mission shall be submitted to the committee concerned within one month after completion of the mission.]; [The Conference of Committee Chairs shall submit to the Bureau; by 31 October for the first half of the following year and by 30 April for the second half of the same year; a draft 6-month programme of hearings envisaged; accompanied by appropriate supporting documents and any information available at that time (topic; justification; dates; number of guests; background).]; [The Bureau shall deliver its opinion (no later than at the second Conference of Presidents meeting following submission of the draft six-month programme).]; [Guests travelling by car shall be entitled; on presentation of a written declaration of honour; to a flat-rate reimbursement of their expenses corresponding to the second-class train fare calculated on the basis of the shortest route between their place of residence or office and the venue of the meeting.], Prior notification.
What must the Conference of Committee Chairs submit to the Bureau by 31 October and 30 April?, [The Conference of Committee Chairs shall submit to the Bureau; by 31 October for the first half of the following year and by 30 April for the second half of the same year; a draft 6-month programme of hearings envisaged; accompanied by appropriate supporting documents and any information available at that time (topic; justification; dates; number of guests; background).]; [The Bureau shall deliver its opinion (no later than at the second Conference of Presidents meeting following submission of the draft six-month programme).]; [Accompanying Members may only benefit from the facilities put at the disposal of the official members of the mission if that does not give rise to extra costs or organisational efforts.]; [Guests invited by Parliament shall be entitled to reimbursement of their travel expenses and to a daily allowance in accordance with the following arrangements:]; [Prior notification shall be submitted to the President in accordance with Article 5 of these Rules.], A draft 6-month programme of hearings envisaged; accompanied by appropriate supporting documents and any information available at that time (topic; justification; dates; number of guests; background).
In what cases may the President grant authorisation without submitting the request to the Bureau?, [In urgent cases; however; the President may grant authorisation without submitting the request to the Bureau.]; [All committee hearings shall require prior authorisation from the Bureau.]; [Prior to each mission; the committee concerned shall forward to the President of Parliament the detailed programme thereof and any other relevant information.]; [The Conference of Committee Chairs shall submit to the Bureau; by 31 October for the first half of the following year and by 30 April for the second half of the same year; a draft 6-month programme of hearings envisaged; accompanied by appropriate supporting documents and any information available at that time (topic; justification; dates; number of guests; background).]; [Guests travelling by car shall be entitled; on presentation of a written declaration of honour; to a flat-rate reimbursement of their expenses corresponding to the second-class train fare calculated on the basis of the shortest route between their place of residence or office and the venue of the meeting.], In urgent cases.
Who shall ensure the proper implementation of the rules and draw up the service instructions required for that purpose?, [The Secretary-General shall ensure the proper implementation of these rules and shall draw up the service instructions required for that purpose.]; [Prior to each mission; the committee concerned shall forward to the President of Parliament the detailed programme thereof and any other relevant information.]; [Guests invited by Parliament shall be entitled to reimbursement of their travel expenses and to a daily allowance in accordance with the following arrangements:]; [The Bureau shall deliver its opinion (no later than at the second Conference of Presidents meeting following submission of the draft six-month programme).]; [All committee hearings shall require prior authorisation from the Bureau.], The Secretary-General.
When shall the Decision; as last amended; enter into force?, [This Decision; as last amended; shall enter into force on 1 February 2017.]; [Prior to each mission; the committee concerned shall forward to the President of Parliament the detailed programme thereof and any other relevant information.]; [The Conference of Committee Chairs shall submit to the Bureau; by 31 October for the first half of the following year and by 30 April for the second half of the same year; a draft 6-month programme of hearings envisaged; accompanied by appropriate supporting documents and any information available at that time (topic; justification; dates; number of guests; background).]; [Guests invited by Parliament shall be entitled to reimbursement of their travel expenses and to a daily allowance in accordance with the following arrangements:]; [The Bureau shall deliver its opinion (no later than at the second Conference of Presidents meeting following submission of the draft six-month programme).], 1 February 2017.
When did the Conference of Presidents decide to institute the Sakharov Prize for Freedom of Thought?, [The Conference of Presidents; – having regard to Parliament's resolution of 13 December 1985 instituting the Sakharov Prize for freedom of thought;]; [The Conference of Presidents; – having regard to the proposal from the Committee on Foreign Affairs; Human Rights; Common Security and Defence Policy;]; [The Conference of Presidents; – having regard to Rule 25(4) of the Rules of Procedure;]; [Parliament shall annually award the Sakharov Prize for freedom of thought.]; [The prize shall be awarded for a particular achievement in one of the following fields:], 13 December 1985
What is the monetary value of the Sakharov Prize?, [The prize shall be 50 000 €]; [Parliament reserves the right to publish any work for which the prize is awarded.]; [The prize shall be awarded for a particular achievement in one of the following fields:]; [Parliament shall annually award the Sakharov Prize for freedom of thought.]; [The prize may be awarded to natural persons or to associations or organisations; irrespective of whether they have legal personality.], 50 000 €
Who can be awarded the Sakharov Prize?, [The prize may be awarded to natural persons or to associations or organisations; irrespective of whether they have legal personality.]; [The nationality; place of residence or seat of the candidates shall be immaterial.]; [An achievement within the meaning of Article 2 must be substantiated and verifiable.]; [Parliament reserves the right to publish any work for which the prize is awarded.]; [If a written work is submitted in support of an application; it must be in one of the official languages of the European Union.], Natural persons; associations; or organisations; irrespective of whether they have legal personality.
How many Members of Parliament need to support a nomination for the Sakharov Prize?, [Nominations must secure the support of at least 40 Members; or a political group; of Parliament.]; [Nominations which meet the formal criteria set out above shall be assessed in a joint meeting of the Committee on Foreign Affairs and the Committee on Development.]; [Each proposal must be signed and include supporting evidence.]; [Each proposal must be signed and include supporting evidence.]; [Nominations must secure the support of at least 40 Members; or a political group; of Parliament.], At least 40 Members; or a political group; of Parliament.
How many candidates will the joint meeting of the Committee on Foreign Affairs and the Committee on Development list after their assessment?, [Following that assessment; the two committees shall proceed jointly to an indicative vote producing a list of three candidates; in alphabetical order; from which the Conference of Presidents shall select one winner.]; [Nominations which meet the formal criteria set out above shall be assessed in a joint meeting of the Committee on Foreign Affairs and the Committee on Development.]; [The President of Parliament shall present the prize at a ceremony during a plenary session of Parliament.]; [Nominations must secure the support of at least 40 Members; or a political group; of Parliament.]; [An achievement within the meaning of Article 2 must be substantiated and verifiable.], Three candidates
